complaint_id,complaint_text,category,priority,date_received,status
273,Your team promised a callback within 24 hours but nobody called me back.,Service Quality,Low,2023-02-19,Closed
274,The parental controls on my account are not restricting content as configured. Please look into this matter.,Account,Medium,2023-04-13,In Progress
275,The account verification process keeps failing even with correct documents. This needs immediate attention.,Account,High,2023-01-18,Open
276,The auto-renewal charged my card without sending a reminder email first. Please resolve this urgently.,Billing,Medium,2024-01-03,Open
277,The fragile items in my order were not packed properly and arrived broken. I need help with this issue.,Delivery,Medium,2023-02-22,Closed
278,Your response time to emails is terrible. I waited a week for a simple answer. Please look into this matter.,Service Quality,Medium,2024-08-14,In Progress
279,I've contacted support 5 times about the same issue and it's still not resolved. This needs immediate attention.,Service Quality,Medium,2024-07-10,In Progress
280,The promotional discount was not applied to my latest invoice. I was promised 20% off. I need help with this issue.,Billing,Medium,2023-05-07,Open
281,I cancelled my plan last month but I'm still being billed. Please stop the charges. This needs immediate attention.,Billing,Medium,2023-02-02,In Progress
282,I requested an account data export but received an incomplete file. Expecting a quick resolution.,Account,Medium,2024-12-19,Closed
283,The print function is not working correctly. Pages come out blank or garbled. I need help with this issue.,Technical Support,Low,2024-01-28,In Progress
284,The currency conversion rate applied to my bill is incorrect. Please look into this matter.,Billing,Medium,2024-09-16,Closed
285,I cannot change my subscription plan from the account management page. Expecting a quick resolution.,Account,High,2023-04-28,In Progress
286,The delivery person did not ring the doorbell and left a missed delivery notice.,Delivery,High,2024-09-20,Open
287,I see duplicate transactions on my statement. Both need to be investigated.,Billing,High,2024-04-15,Closed
288,I was transferred between 4 different departments without anyone helping me. This needs immediate attention.,Service Quality,High,2024-09-09,Open
289,My corporate discount is not reflecting on the latest bill. Please correct this. Please resolve this urgently.,Billing,High,2023-11-19,In Progress
290,The tracking information hasn't updated in 4 days. Where is my package? This has been going on for too long.,Delivery,Medium,2023-05-18,Open
291,I need to transfer my account ownership but the process is not documented. Expecting a quick resolution.,Account,Low,2023-02-09,Open
292,The delivery window given was 8am-8pm which is way too broad to be useful. I am very disappointed.,Delivery,High,2024-10-05,Open
293,I cannot add a secondary user to my account as the option is greyed out. This has been going on for too long.,Account,Low,2023-06-13,Closed
294,I ordered express shipping but the package is coming via standard delivery. I am very disappointed.,Delivery,Medium,2024-12-11,Open
295,My order was supposed to arrive 5 days ago but I still haven't received it. Please look into this matter.,Delivery,Medium,2023-06-25,Closed
296,The service quality has deteriorated significantly over the past few months. I am very disappointed.,Service Quality,High,2023-11-04,Closed
297,Screen sharing feature freezes during presentations. This is affecting my work. I am very disappointed.,Technical Support,Low,2023-11-24,Open
298,Your response time to emails is terrible. I waited a week for a simple answer. Expecting a quick resolution.,Service Quality,High,2023-07-11,In Progress
299,Your software is not compatible with the latest OS update. Please fix this. Please look into this matter.,Technical Support,High,2023-10-12,Open
300,I was charged full price during the free trial period. This is a billing error.,Billing,Medium,2024-07-06,Open
301,My account tier benefits are not reflecting even though I qualify for gold status. Expecting a quick resolution.,Account,Medium,2024-02-09,Closed
302,The delivery date was changed twice without notifying me in advance.,Delivery,High,2024-10-24,Closed
303,The service quality has deteriorated significantly over the past few months. I am very disappointed.,Service Quality,Medium,2023-07-21,In Progress
304,Your response time to emails is terrible. I waited a week for a simple answer. I am very disappointed.,Service Quality,High,2023-05-05,In Progress
305,Your staff provided incorrect information which caused me financial loss. I am very disappointed.,Service Quality,Medium,2023-05-21,In Progress
306,I was transferred between 4 different departments without anyone helping me. I am very disappointed.,Service Quality,Medium,2023-10-15,Closed
307,Your staff provided incorrect information which caused me financial loss. Please resolve this urgently.,Service Quality,High,2024-08-14,Open
308,The service quality has deteriorated significantly over the past few months. Please resolve this urgently.,Service Quality,Medium,2023-03-05,Closed
309,I see duplicate transactions on my statement. Both need to be investigated. This has been going on for too long.,Billing,High,2024-10-04,Closed
310,I was transferred between 4 different departments without anyone helping me.,Service Quality,Medium,2023-09-25,Open
311,Your support team keeps asking me to repeat the same information every time I call. Expecting a quick resolution.,Service Quality,Medium,2024-06-28,Closed
312,My corporate discount is not reflecting on the latest bill. Please correct this. Please look into this matter.,Billing,Low,2024-03-04,Closed
313,My account is showing activity from a location I have never been to.,Account,High,2024-04-09,Closed
314,I received the wrong item. The order number matches but the product is different. Please resolve this urgently.,Delivery,Medium,2023-05-26,Closed
315,I cancelled my plan last month but I'm still being billed. Please stop the charges. Please look into this matter.,Billing,High,2024-11-07,Closed
316,I've been waiting 3 weeks for an international shipment that was quoted 7 days. I need help with this issue.,Delivery,Low,2023-02-01,In Progress
317,The service outage lasted 3 days and there was no communication from your team. Please resolve this urgently.,Service Quality,High,2024-02-18,In Progress
318,The account recovery process requires a phone number I no longer have access to. I am very disappointed.,Account,High,2023-02-16,Closed
319,I received a late payment fee even though I paid on time. Check your records. I am very disappointed.,Billing,Medium,2023-04-30,Closed
320,My loyalty points disappeared from my account after the system update. I need help with this issue.,Account,High,2023-09-30,In Progress
321,I cannot change my subscription plan from the account management page. I am very disappointed.,Account,High,2023-05-16,Closed
322,The delivery driver left the package in the rain without any protection. This needs immediate attention.,Delivery,Low,2023-05-11,Open
323,I received the wrong item. The order number matches but the product is different. This has been going on for too long.,Delivery,High,2024-10-19,In Progress
324,My loyalty points disappeared from my account after the system update. I need help with this issue.,Account,High,2023-01-17,In Progress
325,I received the wrong item. The order number matches but the product is different. Please resolve this urgently.,Delivery,High,2023-04-16,Open
326,The price increased without any prior notification. This is unfair to loyal customers. This needs immediate attention.,Billing,Low,2024-09-03,Open
327,The software update broke several features that were working fine before. Expecting a quick resolution.,Technical Support,Low,2023-03-13,Closed
328,The calendar integration with my email client stopped working after the update. I need help with this issue.,Technical Support,Medium,2023-06-25,Closed
329,The fragile items in my order were not packed properly and arrived broken. Please resolve this urgently.,Delivery,High,2023-11-04,Open
330,I cannot link my social media accounts to my profile anymore. Expecting a quick resolution.,Account,Medium,2024-07-15,Closed
331,Your response time to emails is terrible. I waited a week for a simple answer. This has been going on for too long.,Service Quality,Low,2024-04-01,Closed
332,The delivery window given was 8am-8pm which is way too broad to be useful. Please resolve this urgently.,Delivery,Medium,2023-03-07,In Progress
333,The tracking information hasn't updated in 4 days. Where is my package? I am very disappointed.,Delivery,Low,2024-11-17,Open
334,Your company's communication during the maintenance window was poor. Expecting a quick resolution.,Service Quality,High,2023-10-30,Closed
335,I was charged twice for my subscription this month. Please refund the extra amount. I am very disappointed.,Billing,Medium,2023-09-08,Closed
336,My bill shows charges for services I never subscribed to. This is unacceptable. This needs immediate attention.,Billing,Medium,2024-02-16,In Progress
337,I was charged full price during the free trial period. This is a billing error. Please resolve this urgently.,Billing,High,2023-10-30,Open
338,The invoice amount does not match what was quoted by your sales team. This has been going on for too long.,Billing,High,2024-10-15,Open
339,I was charged full price during the free trial period. This is a billing error. Please look into this matter.,Billing,Medium,2024-08-21,In Progress
340,I need to transfer my account ownership but the process is not documented. This needs immediate attention.,Account,Medium,2023-03-05,Closed
341,My account history and past orders have been wiped clean after the migration. I need help with this issue.,Account,Medium,2024-07-18,In Progress
342,The account verification process keeps failing even with correct documents. This needs immediate attention.,Account,Medium,2023-08-28,Open
343,I was downgraded from premium to basic without any notification or consent. Please look into this matter.,Account,High,2023-09-09,Closed
344,The app keeps crashing every time I try to open it. I've tried reinstalling but no luck.,Technical Support,High,2023-09-08,In Progress
345,Someone accessed my account without authorization. I suspect a security breach. Expecting a quick resolution.,Account,Medium,2024-06-04,Closed
346,I cancelled my plan last month but I'm still being billed. Please stop the charges.,Billing,High,2023-09-20,Closed
347,I was transferred between 4 different departments without anyone helping me.,Service Quality,Low,2023-04-02,Open
348,The privacy settings on my account are not saving when I try to update them. Please resolve this urgently.,Account,Medium,2024-05-05,Open
349,I've contacted support 5 times about the same issue and it's still not resolved. This needs immediate attention.,Service Quality,Medium,2024-07-18,Open
350,The parental controls on my account are not restricting content as configured. Expecting a quick resolution.,Account,High,2023-04-26,Closed
351,I cancelled my plan last month but I'm still being billed. Please stop the charges. I am very disappointed.,Billing,Medium,2023-08-15,In Progress
352,The delivery date was changed twice without notifying me in advance.,Delivery,Medium,2024-08-02,Closed
353,I want to delete my account but there is no option to do so on the website. This needs immediate attention.,Account,High,2023-05-25,Closed
354,I need an itemized bill breakdown. The total charges seem inflated. This needs immediate attention.,Billing,Medium,2024-05-29,Closed
355,The website is extremely slow and keeps timing out. I can't complete any transactions. This needs immediate attention.,Technical Support,Medium,2024-12-18,In Progress
356,My loyalty points disappeared from my account after the system update. Please resolve this urgently.,Account,High,2024-04-12,In Progress
357,Your company's communication during the maintenance window was poor. Please look into this matter.,Service Quality,High,2023-03-04,Open
358,My account is showing activity from a location I have never been to. Please resolve this urgently.,Account,Medium,2023-04-24,Closed
359,I expect better service for the premium price I'm paying for your subscription. Please look into this matter.,Service Quality,Medium,2024-11-12,Closed
360,My refund has been pending for over 30 days. When will it be processed? I am very disappointed.,Billing,High,2024-02-04,Closed
361,I received a late payment fee even though I paid on time. Check your records. Expecting a quick resolution.,Billing,High,2024-10-16,Closed
362,The calendar integration with my email client stopped working after the update. This needs immediate attention.,Technical Support,Low,2023-04-04,Open
363,Your response time to emails is terrible. I waited a week for a simple answer. I am very disappointed.,Service Quality,Low,2024-06-17,Closed
364,The delivery driver left the package in the rain without any protection. This needs immediate attention.,Delivery,High,2023-12-26,Open
365,I need an itemized bill breakdown. The total charges seem inflated. This has been going on for too long.,Billing,Medium,2023-04-15,Open
366,The account recovery process requires a phone number I no longer have access to. Please resolve this urgently.,Account,High,2023-02-18,Open
367,I received the wrong item. The order number matches but the product is different. I need help with this issue.,Delivery,Low,2024-08-30,Closed
368,My account was suspended even though the payment went through successfully. I am very disappointed.,Billing,High,2024-12-15,Open
369,The service quality has deteriorated significantly over the past few months. Please look into this matter.,Service Quality,High,2023-04-07,Closed
370,I see an unauthorized charge on my account for $49.99. I did not make this purchase. Please resolve this urgently.,Billing,Medium,2023-01-13,Open
371,Your support team keeps asking me to repeat the same information every time I call. I need help with this issue.,Service Quality,Medium,2024-03-21,Open
372,I cannot link my social media accounts to my profile anymore. I need help with this issue.,Account,High,2023-12-20,Open
373,The search function on your platform returns irrelevant results or no results at all. Please resolve this urgently.,Technical Support,Low,2024-02-29,In Progress
374,My account shows a balance due but I already paid in full last week. This needs immediate attention.,Billing,Medium,2023-09-07,Open
375,The package was left at the wrong address and I had to retrieve it myself. I am very disappointed.,Delivery,Low,2023-01-07,Open
376,The delivery date was changed twice without notifying me in advance. Please look into this matter.,Delivery,High,2023-03-31,In Progress
377,The account merge feature is not working. I have two accounts that need combining. I need help with this issue.,Account,Medium,2024-03-19,Open
378,My loyalty points disappeared from my account after the system update.,Account,Medium,2024-09-26,In Progress
379,I see duplicate transactions on my statement. Both need to be investigated. I need help with this issue.,Billing,High,2024-09-13,Open
380,The account merge feature is not working. I have two accounts that need combining. Please look into this matter.,Account,High,2023-06-11,In Progress
381,I expect better service for the premium price I'm paying for your subscription. This needs immediate attention.,Service Quality,High,2024-04-28,Closed
382,My replacement order is taking longer than the original order to ship. This has been going on for too long.,Delivery,High,2024-05-14,Open
383,The technician who visited my home was unprofessional and left without fixing the issue. Expecting a quick resolution.,Service Quality,Low,2024-08-05,Open
384,My loyalty points disappeared from my account after the system update. I need help with this issue.,Account,High,2023-11-15,Closed
385,The quality assurance on your latest product release is clearly lacking.,Service Quality,High,2023-06-29,Closed
386,The package arrived damaged. The contents inside were completely broken. I am very disappointed.,Delivery,High,2024-03-26,Open
387,Half of the items in my order are missing. I only received 2 out of 5 items. I need help with this issue.,Delivery,High,2023-12-02,In Progress
388,The print function is not working correctly. Pages come out blank or garbled. Please look into this matter.,Technical Support,Low,2024-03-29,Closed
389,The export feature generates corrupted files. I cannot open the downloaded reports. Please resolve this urgently.,Technical Support,High,2023-08-16,Closed
390,The chat feature is not loading. I see a blank screen when I click on messages. This needs immediate attention.,Technical Support,High,2023-01-10,Closed
391,Your staff provided incorrect information which caused me financial loss. This needs immediate attention.,Service Quality,High,2023-10-05,Open
392,The calendar integration with my email client stopped working after the update. Please resolve this urgently.,Technical Support,High,2023-03-29,Open
393,Your software is not compatible with the latest OS update. Please fix this. Expecting a quick resolution.,Technical Support,High,2023-03-17,In Progress
394,I've been waiting on hold for over 45 minutes. This is unacceptable wait time. Please resolve this urgently.,Service Quality,Medium,2024-09-02,Closed
395,I expect better service for the premium price I'm paying for your subscription. I need help with this issue.,Service Quality,Low,2023-05-19,Open
396,The package arrived damaged. The contents inside were completely broken. Please resolve this urgently.,Delivery,Low,2023-03-04,Closed
397,My loyalty points disappeared from my account after the system update. I am very disappointed.,Account,Low,2024-04-25,Closed
398,The live chat support agent disconnected without resolving my issue. Please resolve this urgently.,Service Quality,Low,2024-01-12,Open
399,I cancelled my plan last month but I'm still being billed. Please stop the charges. Expecting a quick resolution.,Billing,High,2024-06-11,Open
400,I see an unauthorized charge on my account for $49.99. I did not make this purchase. I need help with this issue.,Billing,Medium,2023-07-25,Closed
401,The delivery person did not ring the doorbell and left a missed delivery notice. This needs immediate attention.,Delivery,Medium,2023-05-27,Open
402,I received the wrong item. The order number matches but the product is different. Please look into this matter.,Delivery,High,2024-11-14,Open
403,The fragile items in my order were not packed properly and arrived broken. This needs immediate attention.,Delivery,High,2023-12-24,Closed
404,Your software is not compatible with the latest OS update. Please fix this. This has been going on for too long.,Technical Support,Medium,2024-02-25,In Progress
405,The estimated delivery date on the website was inaccurate by over a week.,Delivery,Low,2023-03-16,In Progress
406,I see duplicate transactions on my statement. Both need to be investigated. This needs immediate attention.,Billing,Low,2023-05-23,In Progress
407,I cancelled my plan last month but I'm still being billed. Please stop the charges. Please look into this matter.,Billing,Low,2024-07-08,Closed
408,My loyalty points disappeared from my account after the system update. Expecting a quick resolution.,Account,High,2024-07-28,In Progress
409,The service quality has deteriorated significantly over the past few months. This has been going on for too long.,Service Quality,Medium,2023-10-13,In Progress
410,My package was returned to sender without any attempt to deliver it.,Delivery,Low,2023-04-21,Closed
411,The privacy settings on my account are not saving when I try to update them.,Account,High,2023-02-16,Open
412,The online help documentation is outdated and doesn't match the current interface. This needs immediate attention.,Service Quality,Medium,2024-05-15,In Progress
413,The print function is not working correctly. Pages come out blank or garbled. Please look into this matter.,Technical Support,Medium,2023-08-07,Open
414,The website is extremely slow and keeps timing out. I can't complete any transactions. Expecting a quick resolution.,Technical Support,High,2024-09-26,Closed
415,My delivery was marked as delivered but I never received it at my address. I need help with this issue.,Delivery,Low,2023-02-06,Open
416,The tracking information hasn't updated in 4 days. Where is my package? This needs immediate attention.,Delivery,Medium,2024-12-14,In Progress
417,I cannot upload files larger than 5MB even though the limit should be 25MB. This has been going on for too long.,Technical Support,Medium,2024-04-13,Open
418,My loyalty points disappeared from my account after the system update. Expecting a quick resolution.,Account,Low,2024-05-18,Closed
419,My account is showing activity from a location I have never been to. I need help with this issue.,Account,High,2024-09-12,Closed
420,Auto-save is not working and I lost 2 hours of work. Very frustrating. I am very disappointed.,Technical Support,Medium,2023-11-25,Open
421,The service quality has deteriorated significantly over the past few months. I need help with this issue.,Service Quality,Medium,2024-06-30,Open
422,I requested an account data export but received an incomplete file. This needs immediate attention.,Account,Medium,2023-08-26,In Progress
423,I was downgraded from premium to basic without any notification or consent. I need help with this issue.,Account,Medium,2024-10-02,Open
424,Your response time to emails is terrible. I waited a week for a simple answer.,Service Quality,Low,2024-11-14,In Progress
425,Your response time to emails is terrible. I waited a week for a simple answer. Please resolve this urgently.,Service Quality,High,2024-08-18,Open
426,The website is extremely slow and keeps timing out. I can't complete any transactions. Please resolve this urgently.,Technical Support,Medium,2024-06-27,Closed
427,The account verification process keeps failing even with correct documents. Please resolve this urgently.,Account,High,2023-05-18,Open
428,My bill shows charges for services I never subscribed to. This is unacceptable.,Billing,Medium,2023-04-06,Open
429,The chat feature is not loading. I see a blank screen when I click on messages. This needs immediate attention.,Technical Support,High,2024-01-18,Closed
430,The API integration keeps returning timeout errors for our application. Please look into this matter.,Technical Support,Medium,2024-08-11,In Progress
431,The API integration keeps returning timeout errors for our application. Please look into this matter.,Technical Support,Medium,2023-04-03,Closed
432,I was charged for a premium feature that I never opted into. Remove the charge. Expecting a quick resolution.,Billing,Low,2024-08-10,Open
433,Data sync between desktop and mobile versions is not working properly. This has been going on for too long.,Technical Support,High,2023-05-21,Closed
434,Your staff provided incorrect information which caused me financial loss. Expecting a quick resolution.,Service Quality,Medium,2024-08-03,In Progress
435,My device is not connecting to your service. I've followed all troubleshooting steps.,Technical Support,High,2023-11-13,Open
436,My account was suspended even though the payment went through successfully. I am very disappointed.,Billing,Medium,2024-10-05,Closed
437,Half of the items in my order are missing. I only received 2 out of 5 items. I am very disappointed.,Delivery,Low,2024-11-10,In Progress
438,I cannot change my subscription plan from the account management page. Please look into this matter.,Account,High,2023-12-26,Closed
439,Screen sharing feature freezes during presentations. This is affecting my work. This has been going on for too long.,Technical Support,High,2023-01-21,In Progress
440,The mobile app notifications are not working. I'm missing important alerts. This has been going on for too long.,Technical Support,Low,2023-12-05,Open
441,I received the wrong item. The order number matches but the product is different. This needs immediate attention.,Delivery,Low,2023-12-23,Closed
442,Video calls keep dropping after 5 minutes. My internet connection is fine. I need help with this issue.,Technical Support,High,2024-05-04,Closed
443,I was charged full price during the free trial period. This is a billing error. I need help with this issue.,Billing,High,2024-10-24,In Progress
444,I received a late payment fee even though I paid on time. Check your records. This has been going on for too long.,Billing,Medium,2024-12-09,Closed
445,I was downgraded from premium to basic without any notification or consent. I am very disappointed.,Account,Low,2023-05-21,Closed
446,The chat feature is not loading. I see a blank screen when I click on messages. Expecting a quick resolution.,Technical Support,High,2024-04-12,Closed
447,The gift wrapping I paid extra for was not included in the delivery. I need help with this issue.,Delivery,Medium,2023-12-27,In Progress
448,I ordered express shipping but the package is coming via standard delivery. Please look into this matter.,Delivery,Medium,2023-09-22,Open
449,The calendar integration with my email client stopped working after the update. Expecting a quick resolution.,Technical Support,Medium,2023-03-29,Closed
450,I cancelled my plan last month but I'm still being billed. Please stop the charges. Please look into this matter.,Billing,Medium,2024-07-21,In Progress
451,The billing cycle changed without my consent. I want to go back to monthly billing. Please resolve this urgently.,Billing,Medium,2023-02-16,Closed
452,I'm getting error code 502 whenever I try to access my dashboard. Please resolve this urgently.,Technical Support,High,2023-09-11,Open
453,The privacy settings on my account are not saving when I try to update them. Please look into this matter.,Account,Medium,2023-05-11,In Progress
454,The privacy settings on my account are not saving when I try to update them. Expecting a quick resolution.,Account,Medium,2023-07-23,Closed
455,The promised features in the plan I purchased are not available. Expecting a quick resolution.,Service Quality,Medium,2024-01-31,Open
456,The software update broke several features that were working fine before. This needs immediate attention.,Technical Support,Medium,2023-07-08,Open
457,The calendar integration with my email client stopped working after the update. I need help with this issue.,Technical Support,Medium,2023-04-24,Closed
458,Your team promised a callback within 24 hours but nobody called me back. Please resolve this urgently.,Service Quality,High,2023-01-06,Open
459,The gift wrapping I paid extra for was not included in the delivery. I am very disappointed.,Delivery,High,2023-10-09,Closed
460,My account profile information was changed without my knowledge. Expecting a quick resolution.,Account,Medium,2023-04-04,Closed
461,I see duplicate transactions on my statement. Both need to be investigated. Please look into this matter.,Billing,High,2023-09-25,Open
462,I received the wrong item. The order number matches but the product is different. Please look into this matter.,Delivery,Low,2024-09-30,In Progress
463,I received a late payment fee even though I paid on time. Check your records. This has been going on for too long.,Billing,Low,2023-03-10,Closed
464,The privacy settings on my account are not saving when I try to update them. Please resolve this urgently.,Account,Medium,2024-11-28,In Progress
465,My account profile information was changed without my knowledge. Please look into this matter.,Account,Medium,2023-03-25,In Progress
466,The API integration keeps returning timeout errors for our application. Please look into this matter.,Technical Support,High,2023-10-13,Open
467,Your team promised a callback within 24 hours but nobody called me back. I am very disappointed.,Service Quality,Low,2024-06-03,Closed
468,I was charged for a premium feature that I never opted into. Remove the charge. I need help with this issue.,Billing,Medium,2023-05-21,In Progress
469,The account verification process keeps failing even with correct documents.,Account,Low,2024-09-03,In Progress
470,The currency conversion rate applied to my bill is incorrect. I need help with this issue.,Billing,Medium,2024-11-26,In Progress
471,I was charged full price during the free trial period. This is a billing error. Please look into this matter.,Billing,High,2024-07-21,In Progress
472,I see an unauthorized charge on my account for $49.99. I did not make this purchase.,Billing,High,2024-01-14,Closed
473,The service quality has deteriorated significantly over the past few months. Expecting a quick resolution.,Service Quality,Low,2023-02-05,Closed
474,I was charged twice for my subscription this month. Please refund the extra amount. Please look into this matter.,Billing,Low,2023-05-14,Open
475,Half of the items in my order are missing. I only received 2 out of 5 items. Please resolve this urgently.,Delivery,High,2023-12-25,In Progress
476,The account merge feature is not working. I have two accounts that need combining. I am very disappointed.,Account,High,2023-04-10,In Progress
477,The service quality has deteriorated significantly over the past few months. Expecting a quick resolution.,Service Quality,Medium,2023-07-09,Closed
478,The software update broke several features that were working fine before.,Technical Support,High,2024-03-09,Open
479,The chat feature is not loading. I see a blank screen when I click on messages. This has been going on for too long.,Technical Support,Medium,2024-02-28,In Progress
480,Video calls keep dropping after 5 minutes. My internet connection is fine.,Technical Support,Medium,2023-01-24,Open
481,The delivery driver left the package in the rain without any protection. This needs immediate attention.,Delivery,Medium,2023-09-04,Closed
482,I cannot log into my account. The password reset link is not working either. I am very disappointed.,Technical Support,Medium,2024-01-09,Open
483,My replacement order is taking longer than the original order to ship. Please resolve this urgently.,Delivery,High,2024-01-23,In Progress
484,The search function on your platform returns irrelevant results or no results at all. Please look into this matter.,Technical Support,Medium,2024-05-12,Closed
485,The chat feature is not loading. I see a blank screen when I click on messages. This has been going on for too long.,Technical Support,High,2024-07-28,Open
486,My replacement order is taking longer than the original order to ship. I need help with this issue.,Delivery,Low,2023-09-29,Closed
487,I received the wrong item. The order number matches but the product is different. I need help with this issue.,Delivery,Medium,2023-05-12,In Progress
488,I see duplicate transactions on my statement. Both need to be investigated. Please resolve this urgently.,Billing,Medium,2024-01-17,Closed
489,The service quality has deteriorated significantly over the past few months. Please look into this matter.,Service Quality,High,2023-01-13,Open
490,The print function is not working correctly. Pages come out blank or garbled. Please resolve this urgently.,Technical Support,Medium,2023-10-01,Open
491,Video calls keep dropping after 5 minutes. My internet connection is fine. Please look into this matter.,Technical Support,High,2024-12-15,Open
492,My bill shows charges for services I never subscribed to. This is unacceptable. Expecting a quick resolution.,Billing,High,2024-09-21,Closed
493,I expect better service for the premium price I'm paying for your subscription. Expecting a quick resolution.,Service Quality,Low,2024-04-07,Open
494,The mobile app notifications are not working. I'm missing important alerts. I need help with this issue.,Technical Support,Medium,2024-12-19,Open
495,The parental controls on my account are not restricting content as configured. This has been going on for too long.,Account,High,2023-05-28,Closed
496,The invoice amount does not match what was quoted by your sales team. This has been going on for too long.,Billing,High,2023-03-29,Closed
497,I've contacted support 5 times about the same issue and it's still not resolved. This needs immediate attention.,Service Quality,High,2024-12-09,Open
498,Your response time to emails is terrible. I waited a week for a simple answer.,Service Quality,High,2023-11-23,Open
499,I've contacted support 5 times about the same issue and it's still not resolved.,Service Quality,Low,2023-11-23,Closed
500,The account recovery process requires a phone number I no longer have access to.,Account,High,2023-12-06,In Progress
501,The delivery date was changed twice without notifying me in advance. Expecting a quick resolution.,Delivery,Low,2023-11-03,Open
502,The live chat support agent disconnected without resolving my issue. I am very disappointed.,Service Quality,High,2024-07-23,Closed
503,Your customer service representative was extremely rude and unhelpful during my call. Please look into this matter.,Service Quality,High,2023-11-13,Closed
504,The delivery driver left the package in the rain without any protection.,Delivery,Medium,2023-04-14,Closed
505,I've been waiting 3 weeks for an international shipment that was quoted 7 days. I need help with this issue.,Delivery,Medium,2024-04-27,In Progress
506,The mobile app notifications are not working. I'm missing important alerts. Please look into this matter.,Technical Support,Medium,2024-04-20,Open
507,The fragile items in my order were not packed properly and arrived broken. Expecting a quick resolution.,Delivery,High,2023-12-04,Open
508,The tracking information hasn't updated in 4 days. Where is my package? Please look into this matter.,Delivery,Low,2023-03-28,Closed
509,The privacy settings on my account are not saving when I try to update them. I need help with this issue.,Account,Low,2024-06-20,In Progress
510,I was transferred between 4 different departments without anyone helping me. I am very disappointed.,Service Quality,High,2024-06-10,In Progress
511,I received a late payment fee even though I paid on time. Check your records. I am very disappointed.,Billing,High,2023-08-21,Open
512,I was transferred between 4 different departments without anyone helping me. This has been going on for too long.,Service Quality,Medium,2024-12-07,Closed
513,I cannot change my subscription plan from the account management page. I need help with this issue.,Account,High,2024-11-03,Closed
514,I received a late payment fee even though I paid on time. Check your records. Please resolve this urgently.,Billing,Medium,2024-01-25,Open
515,Half of the items in my order are missing. I only received 2 out of 5 items. Expecting a quick resolution.,Delivery,Low,2023-12-14,In Progress
516,Your staff provided incorrect information which caused me financial loss. This needs immediate attention.,Service Quality,Medium,2024-05-14,Closed
517,The calendar integration with my email client stopped working after the update. Expecting a quick resolution.,Technical Support,Low,2024-10-12,Closed
518,Your software is not compatible with the latest OS update. Please fix this. This needs immediate attention.,Technical Support,Low,2024-07-22,Closed
519,My package was returned to sender without any attempt to deliver it. I am very disappointed.,Delivery,High,2024-03-04,In Progress
520,The online help documentation is outdated and doesn't match the current interface. I am very disappointed.,Service Quality,Medium,2023-03-09,Closed
521,I was charged full price during the free trial period. This is a billing error. Expecting a quick resolution.,Billing,Medium,2023-06-29,In Progress
522,The account verification process keeps failing even with correct documents. This has been going on for too long.,Account,High,2024-12-31,Closed
523,I'm getting error code 502 whenever I try to access my dashboard. I am very disappointed.,Technical Support,High,2023-10-14,Open
524,Your customer service representative was extremely rude and unhelpful during my call. I need help with this issue.,Service Quality,Low,2023-10-07,Open
525,The package arrived damaged. The contents inside were completely broken. Expecting a quick resolution.,Delivery,Medium,2024-01-18,In Progress
526,Perishable items in my order arrived spoiled due to delayed delivery. This has been going on for too long.,Delivery,Low,2023-10-22,Closed
527,I see an unauthorized charge on my account for $49.99. I did not make this purchase. I am very disappointed.,Billing,High,2023-04-06,Closed
528,I requested an account data export but received an incomplete file. I am very disappointed.,Account,High,2024-08-05,Open
529,The search function on your platform returns irrelevant results or no results at all. Please look into this matter.,Technical Support,High,2023-08-24,Closed
530,My account tier benefits are not reflecting even though I qualify for gold status. I need help with this issue.,Account,Low,2024-03-16,Closed
531,My account is showing activity from a location I have never been to. I am very disappointed.,Account,High,2023-07-17,Closed
532,My account was locked without any explanation. I need immediate access. Please look into this matter.,Account,Medium,2023-02-28,Closed
533,Screen sharing feature freezes during presentations. This is affecting my work. This has been going on for too long.,Technical Support,Medium,2024-02-11,Closed
534,My corporate discount is not reflecting on the latest bill. Please correct this. Please resolve this urgently.,Billing,Low,2023-05-25,In Progress
535,The quality of your product has declined since I first purchased it. This needs immediate attention.,Service Quality,Medium,2023-11-12,Closed
536,The technician who visited my home was unprofessional and left without fixing the issue.,Service Quality,Low,2023-12-27,Closed
537,The print function is not working correctly. Pages come out blank or garbled. Please look into this matter.,Technical Support,Medium,2023-12-12,In Progress
538,The export feature generates corrupted files. I cannot open the downloaded reports. This has been going on for too long.,Technical Support,Low,2023-09-29,Open
539,My order shows shipped but the carrier says they never received the package. I need help with this issue.,Delivery,Medium,2024-08-11,Closed
540,I received the wrong item. The order number matches but the product is different. Expecting a quick resolution.,Delivery,Low,2024-09-08,In Progress
541,The search function on your platform returns irrelevant results or no results at all. This has been going on for too long.,Technical Support,Low,2024-05-10,Open
542,The API integration keeps returning timeout errors for our application. This needs immediate attention.,Technical Support,High,2023-04-20,Closed
543,My device is not connecting to your service. I've followed all troubleshooting steps. This needs immediate attention.,Technical Support,High,2023-05-01,Closed
544,I was charged twice for my subscription this month. Please refund the extra amount. Please resolve this urgently.,Billing,High,2023-02-16,Open
545,The delivery person did not ring the doorbell and left a missed delivery notice. I need help with this issue.,Delivery,High,2024-09-22,Closed
546,I expect better service for the premium price I'm paying for your subscription. I am very disappointed.,Service Quality,High,2024-01-28,Open
